Category,Resume_Text
Java Developer,"Objective: Aspiring Java Developer looking for opportunities.

Experience: 10 years of experience working as a Java Developer.
Education: B.Tech in Information Technology.
Skills: Spring Boot, Hibernate, Java, Spark, Flask.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 4 years of experience working as a DevOps Engineer.
Education: Bachelor of Science in Computer Science.
Skills: Docker, Kubernetes, Linux, AWS.
Projects: Built various applications using extracted technologies."
Web Developer,"Objective: Aspiring Web Developer looking for opportunities.

Experience: 3 years of experience working as a Web Developer.
Education: Bachelor of Engineering.
Skills: CSS, JavaScript, HTML.
Projects: Built various applications using extracted technologies."
Data Analyst,"Objective: Aspiring Data Analyst looking for opportunities.

Experience: 0 years of experience working as a Data Analyst.
Education: Master of Science in Data Science.
Skills: Excel, SQL, SQL, Django, Power BI.
Projects: Built various applications using extracted technologies."
Web Developer,"Objective: Aspiring Web Developer looking for opportunities.

Experience: 4 years of experience working as a Web Developer.
Education: Master of Science in Data Science.
Skills: CSS, JavaScript, Node.js, React, Scrum, HTML, Power BI.
Projects: Built various applications using extracted technologies."
Web Developer,"Objective: Aspiring Web Developer looking for opportunities.

Experience: 6 years of experience working as a Web Developer.
Education: Bachelor of Science in Computer Science.
Skills: React, Node.js, Docker, React, HTML, JavaScript.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 8 years of experience working as a DevOps Engineer.
Education: Bachelor of Science in Computer Science.
Skills: Python, Kubernetes, Docker, AWS, Linux, Agile, Kubernetes, Jenkins.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 11 years of experience working as a DevOps Engineer.
Education: B.Tech in Information Technology.
Skills: Kubernetes, AWS, Spark.
Projects: Built various applications using extracted technologies."
Data Analyst,"Objective: Aspiring Data Analyst looking for opportunities.

Experience: 9 years of experience working as a Data Analyst.
Education: PhD in Artificial Intelligence.
Skills: Python, Django, Docker, Tableau.
Projects: Built various applications using extracted technologies."
Data Analyst,"Objective: Aspiring Data Analyst looking for opportunities.

Experience: 3 years of experience working as a Data Analyst.
Education: PhD in Artificial Intelligence.
Skills: Python, SQL, Excel, Scrum.
Projects: Built various applications using extracted technologies."
Java Developer,"Objective: Aspiring Java Developer looking for opportunities.

Experience: 0 years of experience working as a Java Developer.
Education: Bachelor of Engineering.
Skills: C++, Hibernate, Hadoop.
Projects: Built various applications using extracted technologies."
Java Developer,"Objective: Aspiring Java Developer looking for opportunities.

Experience: 8 years of experience working as a Java Developer.
Education: Bachelor of Science in Computer Science.
Skills: Kubernetes, Java, Data Analysis, Hibernate, Microservices, Angular, SQL, Spring Boot.
Projects: Built various applications using extracted technologies."
Data Analyst,"Objective: Aspiring Data Analyst looking for opportunities.

Experience: 9 years of experience working as a Data Analyst.
Education: Bachelor of Engineering.
Skills: SQL, Excel, Python, Azure, Power BI, Spark, SQL.
Projects: Built various applications using extracted technologies."
Java Developer,"Objective: Aspiring Java Developer looking for opportunities.

Experience: 8 years of experience working as a Java Developer.
Education: Bachelor of Engineering.
Skills: Spring Boot, Spark, Hibernate.
Projects: Built various applications using extracted technologies."
Java Developer,"Objective: Aspiring Java Developer looking for opportunities.

Experience: 4 years of experience working as a Java Developer.
Education: Master of Science in Data Science.
Skills: Java, Spring Boot, Communication, Tableau, SQL, Microservices, Hibernate, Java.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 4 years of experience working as a DevOps Engineer.
Education: Master of Science in Data Science.
Skills: Linux, Kubernetes, Power BI, Jenkins, Kubernetes, Java, AWS, Docker.
Projects: Built various applications using extracted technologies."
Data Scientist,"Objective: Aspiring Data Scientist looking for opportunities.

Experience: 13 years of experience working as a Data Scientist.
Education: B.Tech in Information Technology.
Skills: Pandas, Machine Learning, SQL, Python, Deep Learning, Scrum.
Projects: Built various applications using extracted technologies."
Web Developer,"Objective: Aspiring Web Developer looking for opportunities.

Experience: 3 years of experience working as a Web Developer.
Education: Master of Science in Data Science.
Skills: Java, HTML, Spark, JavaScript, Node.js, React, CSS.
Projects: Built various applications using extracted technologies."
Data Analyst,"Objective: Aspiring Data Analyst looking for opportunities.

Experience: 0 years of experience working as a Data Analyst.
Education: B.Tech in Information Technology.
Skills: Tableau, C++, GCP, Python, SQL.
Projects: Built various applications using extracted technologies."
Java Developer,"Objective: Aspiring Java Developer looking for opportunities.

Experience: 0 years of experience working as a Java Developer.
Education: Master of Science in Data Science.
Skills: Hibernate, Power BI, SQL, Microservices, Spring Boot, Leadership, Communication, Java.
Projects: Built various applications using extracted technologies."
Java Developer,"Objective: Aspiring Java Developer looking for opportunities.

Experience: 7 years of experience working as a Java Developer.
Education: Bachelor of Engineering.
Skills: Kubernetes, Java, Project Management, Microservices, Hibernate.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 13 years of experience working as a DevOps Engineer.
Education: PhD in Artificial Intelligence.
Skills: Project Management, Linux, Docker, Jenkins, AWS, GCP, Deep Learning, Kubernetes.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 7 years of experience working as a DevOps Engineer.
Education: MBA.
Skills: AWS, Linux, Excel, Kubernetes, Jenkins, Docker.
Projects: Built various applications using extracted technologies."
Data Scientist,"Objective: Aspiring Data Scientist looking for opportunities.

Experience: 6 years of experience working as a Data Scientist.
Education: Master of Science in Data Science.
Skills: Deep Learning, Python, Kubernetes, Scrum.
Projects: Built various applications using extracted technologies."
Web Developer,"Objective: Aspiring Web Developer looking for opportunities.

Experience: 9 years of experience working as a Web Developer.
Education: Bachelor of Science in Computer Science.
Skills: CSS, React, JavaScript, HTML, Azure, Communication.
Projects: Built various applications using extracted technologies."
Data Analyst,"Objective: Aspiring Data Analyst looking for opportunities.

Experience: 0 years of experience working as a Data Analyst.
Education: B.Tech in Information Technology.
Skills: Power BI, Python, Tableau.
Projects: Built various applications using extracted technologies."
Web Developer,"Objective: Aspiring Web Developer looking for opportunities.

Experience: 3 years of experience working as a Web Developer.
Education: Master of Science in Data Science.
Skills: HTML, CSS, Excel.
Projects: Built various applications using extracted technologies."
Data Analyst,"Objective: Aspiring Data Analyst looking for opportunities.

Experience: 10 years of experience working as a Data Analyst.
Education: B.Tech in Information Technology.
Skills: Communication, Big Data, Power BI, Python, SQL, Excel, Tableau.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 9 years of experience working as a DevOps Engineer.
Education: B.Tech in Information Technology.
Skills: Scrum, Azure, Linux, Kubernetes.
Projects: Built various applications using extracted technologies."
Web Developer,"Objective: Aspiring Web Developer looking for opportunities.

Experience: 8 years of experience working as a Web Developer.
Education: MBA.
Skills: Docker, Azure, React.
Projects: Built various applications using extracted technologies."
Data Scientist,"Objective: Aspiring Data Scientist looking for opportunities.

Experience: 14 years of experience working as a Data Scientist.
Education: PhD in Artificial Intelligence.
Skills: Python, Pandas, Kubernetes, Deep Learning.
Projects: Built various applications using extracted technologies."
Java Developer,"Objective: Aspiring Java Developer looking for opportunities.

Experience: 7 years of experience working as a Java Developer.
Education: Bachelor of Engineering.
Skills: Hibernate, SQL, Deep Learning, Flask, Microservices.
Projects: Built various applications using extracted technologies."
Data Analyst,"Objective: Aspiring Data Analyst looking for opportunities.

Experience: 8 years of experience working as a Data Analyst.
Education: PhD in Artificial Intelligence.
Skills: Tableau, Excel, Power BI, SQL.
Projects: Built various applications using extracted technologies."
Data Analyst,"Objective: Aspiring Data Analyst looking for opportunities.

Experience: 3 years of experience working as a Data Analyst.
Education: Master of Science in Data Science.
Skills: SQL, Hadoop, Power BI, Tableau, Agile.
Projects: Built various applications using extracted technologies."
Web Developer,"Objective: Aspiring Web Developer looking for opportunities.

Experience: 7 years of experience working as a Web Developer.
Education: Master of Science in Data Science.
Skills: CSS, Node.js, Communication.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 9 years of experience working as a DevOps Engineer.
Education: MBA.
Skills: Docker, Jenkins, Hadoop, React, Machine Learning.
Projects: Built various applications using extracted technologies."
Java Developer,"Objective: Aspiring Java Developer looking for opportunities.

Experience: 4 years of experience working as a Java Developer.
Education: PhD in Artificial Intelligence.
Skills: Hibernate, Java, Azure, SQL, SQL, Microservices, AWS.
Projects: Built various applications using extracted technologies."
Data Scientist,"Objective: Aspiring Data Scientist looking for opportunities.

Experience: 7 years of experience working as a Data Scientist.
Education: PhD in Artificial Intelligence.
Skills: Python, Docker, Data Analysis, Deep Learning, Machine Learning.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 0 years of experience working as a DevOps Engineer.
Education: Master of Science in Data Science.
Skills: Kubernetes, Django, AWS, Docker, Leadership.
Projects: Built various applications using extracted technologies."
Data Scientist,"Objective: Aspiring Data Scientist looking for opportunities.

Experience: 12 years of experience working as a Data Scientist.
Education: Bachelor of Engineering.
Skills: GCP, Deep Learning, Python, Agile, Pandas, Machine Learning, SQL, Deep Learning.
Projects: Built various applications using extracted technologies."
Java Developer,"Objective: Aspiring Java Developer looking for opportunities.

Experience: 10 years of experience working as a Java Developer.
Education: Master of Science in Data Science.
Skills: SQL, Scrum, Data Analysis, React, Spring Boot.
Projects: Built various applications using extracted technologies."
Java Developer,"Objective: Aspiring Java Developer looking for opportunities.

Experience: 6 years of experience working as a Java Developer.
Education: MBA.
Skills: Spring Boot, Data Analysis, Microservices, SQL, Hibernate, AWS, SQL, Java.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 6 years of experience working as a DevOps Engineer.
Education: MBA.
Skills: Linux, Jenkins, Agile, Kubernetes, Docker.
Projects: Built various applications using extracted technologies."
Java Developer,"Objective: Aspiring Java Developer looking for opportunities.

Experience: 4 years of experience working as a Java Developer.
Education: MBA.
Skills: Spring Boot, Docker, Java, SQL, Hibernate, Vue.js, Microservices.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 12 years of experience working as a DevOps Engineer.
Education: PhD in Artificial Intelligence.
Skills: Kubernetes, AWS, Docker, Linux.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 10 years of experience working as a DevOps Engineer.
Education: Master of Science in Data Science.
Skills: Project Management, AWS, Linux, Docker, Django, Jenkins.
Projects: Built various applications using extracted technologies."
DevOps Engineer,"Objective: Aspiring DevOps Engineer looking for opportunities.

Experience: 13 years of experience working as a DevOps Engineer.
Education: Master of Science in Data Science.
Skills: AWS, Docker, Power BI, Jenkins.
Projects: Built various applications using extracted technologies."
